MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220712,High Plains,31.89,15.84,29.02,17.46,5.62,0.17,7/12/2022,7/18/2022,2
20220712,West,16.59,9.44,17.1,26.89,22.99,6.99,7/12/2022,7/18/2022,2
20220705,High Plains,32.91,16.04,24.77,20.6,5.49,0.18,7/5/2022,7/11/2022,2
20220705,West,15.19,10.08,14.91,27.49,26.28,6.06,7/5/2022,7/11/2022,2
20220628,High Plains,32.2,14.56,26.41,21.21,5.41,0.21,6/28/2022,7/4/2022,2
20220628,West,14.57,9.56,15.64,27.79,26.31,6.12,6/28/2022,7/4/2022,2
20220621,High Plains,30.22,15.99,27.49,19.61,6.47,0.21,6/21/2022,6/27/2022,2
20220621,West,11.38,11.78,15.89,24.29,26.4,10.26,6/21/2022,6/27/2022,2
20220614,High Plains,30.48,15.75,29.21,17.23,7.11,0.21,6/14/2022,6/20/2022,2
20220614,West,10.12,12.42,16.17,23.05,27.97,10.26,6/14/2022,6/20/2022,2
20220607,High Plains,26.41,14.51,32.47,18.78,7.49,0.34,6/7/2022,6/13/2022,2
20220607,West,6.65,9.63,19.93,25.63,28.08,10.07,6/7/2022,6/13/2022,2
20220531,High Plains,23.39,11.13,34.49,22.49,7.74,0.76,5/31/2022,6/6/2022,2
20220531,West,6.27,6.91,18.06,30.76,28.43,9.57,5/31/2022,6/6/2022,2
20220524,High Plains,20.32,9.13,31.36,27.96,10.03,1.19,5/24/2022,5/30/2022,2
20220524,West,6.06,5.72,15.64,33.75,29.11,9.71,5/24/2022,5/30/2022,2
20220517,High Plains,19.9,8.18,31.47,28.63,10.62,1.19,5/17/2022,5/23/2022,2
20220517,West,5.02,4.65,17.55,35.77,29.73,7.28,5/17/2022,5/23/2022,2
20220510,High Plains,17.41,8.21,33.56,34.19,6.06,0.57,5/10/2022,5/16/2022,2
20220510,West,5.28,3.86,18.28,38.26,29.73,4.58,5/10/2022,5/16/2022,2
20220503,High Plains,15.86,9.06,32.65,35.12,6.9,0.41,5/3/2022,5/9/2022,2
20220503,West,4.68,3.99,18.47,42.17,26.06,4.63,5/3/2022,5/9/2022,2
