year,month,month_name,storage
1979,6,Jun,20349226.666666668
1979,7,Jul,21813777.419354837
1979,8,Aug,21643648.387096774
1979,9,Sep,21158570.0
1979,10,Oct,20846564.51612903
1979,11,Nov,20504066.666666668
1979,12,Dec,20216512.903225806
1980,1,Jan,20253735.48387097
1980,2,Feb,20274044.827586208
1980,3,Mar,20564293.548387095
1980,4,Apr,20611253.333333332
1980,5,May,22006022.580645163
1980,6,Jun,23882690.0
1980,7,Jul,24166241.93548387
1980,8,Aug,23226245.16129032
1980,9,Sep,22616390.0
1980,10,Oct,22215548.387096774
1980,11,Nov,21863550.0
1980,12,Dec,21506570.967741936
1981,1,Jan,21336525.80645161
1981,2,Feb,21040914.285714287
1981,3,Mar,20982787.096774194
1981,4,Apr,20895216.666666668
1981,5,May,20903138.70967742
1981,6,Jun,21262786.666666668
1981,7,Jul,21187661.29032258
1981,8,Aug,20606980.64516129
1981,9,Sep,20221368.333333332
1981,10,Oct,20168306.451612905
1981,11,Nov,20024463.333333332
1981,12,Dec,19713696.774193548
1982,1,Jan,19244532.258064516
1982,2,Feb,18827592.85714286
1982,3,Mar,18964645.16129032
1982,4,Apr,19054066.666666668
1982,5,May,19889358.06451613
1982,6,Jun,21288643.333333332
1982,7,Jul,22294712.903225806
1982,8,Aug,22285996.774193548
1982,9,Sep,22265646.666666668
1982,10,Oct,22408687.096774194
1982,11,Nov,22281520.0
1982,12,Dec,22059464.51612903
1983,1,Jan,21820496.774193548
1983,2,Feb,21607717.85714286
1983,3,Mar,21759822.580645163
1983,4,Apr,22009916.666666668
1983,5,May,22728151.612903226
1983,6,Jun,24715613.333333332
1983,7,Jul,25604135.48387097
1983,8,Aug,25326990.322580647
1983,9,Sep,24569886.666666668
1983,10,Oct,23786348.387096774
1983,11,Nov,23032896.666666668
1983,12,Dec,22369854.83870968
1984,1,Jan,21669280.64516129
1984,2,Feb,21075293.103448275
1984,3,Mar,20593783.870967742
1984,4,Apr,20327490.0
1984,5,May,20958145.16129032
1984,6,Jun,23707433.333333332
1984,7,Jul,24674664.51612903
1984,8,Aug,24527612.903225806
1984,9,Sep,24054480.0
1984,10,Oct,23442835.48387097
1984,11,Nov,22941203.333333332
1984,12,Dec,22296919.35483871
1985,1,Jan,21623093.548387095
1985,2,Feb,20985903.57142857
1985,3,Mar,20606745.16129032
1985,4,Apr,21198690.0
1985,5,May,23008212.903225806
1985,6,Jun,24124123.333333332
1985,7,Jul,24097554.83870968
1985,8,Aug,23392577.419354837
1985,9,Sep,22397156.666666668
1985,10,Oct,22155277.419354837
1985,11,Nov,22177716.666666668
1985,12,Dec,22273748.387096774
1986,1,Jan,22264851.612903226
1986,2,Feb,21868935.714285713
1986,3,Mar,21582916.129032258
1986,4,Apr,21471166.666666668
1986,5,May,21857416.129032258
1986,6,Jun,22855786.666666668
1986,7,Jul,24055048.387096774
1986,8,Aug,23896138.70967742
1986,9,Sep,23055006.666666668
1986,10,Oct,22674687.096774194
1986,11,Nov,22565556.666666668
1986,12,Dec,22158738.70967742
1987,1,Jan,21497054.83870968
1987,2,Feb,20985614.285714287
1987,3,Mar,21039067.741935484
1987,4,Apr,21470663.333333332
1987,5,May,22791400.0
1987,6,Jun,23870633.333333332
1987,7,Jul,23933987.096774194
1987,8,Aug,23349022.580645163
1987,9,Sep,22701213.333333332
1987,10,Oct,22379729.032258064
1987,11,Nov,22452193.333333332
1987,12,Dec,22178027.419354837
1988,1,Jan,21866783.870967742
1988,2,Feb,21602100.0
1988,3,Mar,21523629.032258064
1988,4,Apr,21595223.333333332
1988,5,May,22058664.51612903
