year,month,month_name,storage
1952,10,Oct,22070064.51612903
1952,11,Nov,21140666.666666668
1952,12,Dec,20203548.387096774
1953,1,Jan,19355387.096774194
1953,2,Feb,18632750.0
1953,3,Mar,18016516.129032258
1953,4,Apr,17534933.333333332
1953,5,May,17198548.387096774
1953,6,Jun,18246500.0
1953,7,Jul,19416354.83870968
1953,8,Aug,19272354.83870968
1953,9,Sep,18731366.666666668
1953,10,Oct,18069064.51612903
1953,11,Nov,17652700.0
1953,12,Dec,17232548.387096774
1954,1,Jan,16735903.225806452
1954,2,Feb,16325142.857142856
1954,3,Mar,15881322.58064516
1954,4,Apr,15483566.666666666
1954,5,May,15211612.903225806
1954,6,Jun,15379400.0
1954,7,Jul,15042322.58064516
1954,8,Aug,14590129.032258065
1954,9,Sep,13967833.333333334
1954,10,Oct,13629225.806451613
1954,11,Nov,13323400.0
1954,12,Dec,12979903.225806452
1955,1,Jan,12508000.0
1955,2,Feb,12061750.0
1955,3,Mar,11706774.193548387
1955,4,Apr,11358966.666666666
1955,5,May,11490322.58064516
1955,6,Jun,12325966.666666666
1955,7,Jul,12753645.161290323
1955,8,Aug,12512161.290322581
1955,9,Sep,12286400.0
1955,10,Oct,11930774.193548387
1955,11,Nov,11656600.0
1955,12,Dec,11473935.483870968
1956,1,Jan,11315451.612903226
1956,2,Feb,11127931.034482758
1956,3,Mar,10886741.935483871
1956,4,Apr,10731866.666666666
1956,5,May,11263096.774193548
1956,6,Jun,13233300.0
1956,7,Jul,13798806.451612903
1956,8,Aug,13484451.612903226
1956,9,Sep,13014666.666666666
1956,10,Oct,12617322.58064516
1956,11,Nov,12292433.333333334
1956,12,Dec,12060129.032258065
1957,1,Jan,11855516.129032258
1957,2,Feb,11712714.285714285
1957,3,Mar,11627645.161290323
1957,4,Apr,11355166.666666666
1957,5,May,12166483.870967742
1957,6,Jun,15296566.666666666
1957,7,Jul,19500935.48387097
1957,8,Aug,21237645.16129032
1957,9,Sep,21651433.333333332
1957,10,Oct,21461258.06451613
1957,11,Nov,21545666.666666668
1957,12,Dec,21129290.322580647
1958,1,Jan,20434548.387096774
1958,2,Feb,19858607.14285714
1958,3,Mar,19367290.322580647
1958,4,Apr,18954566.666666668
1958,5,May,20239935.48387097
1958,6,Jun,23852000.0
1958,7,Jul,24694741.93548387
1958,8,Aug,24111806.451612905
1958,9,Sep,23534666.666666668
1958,10,Oct,23126548.387096774
1958,11,Nov,22704033.333333332
1958,12,Dec,22217838.70967742
1959,1,Jan,21744387.096774194
1959,2,Feb,21340714.285714287
1959,3,Mar,20967903.225806452
1959,4,Apr,20480966.666666668
1959,5,May,20129709.677419353
1959,6,Jun,20622866.666666668
1959,7,Jul,21278096.774193548
1959,8,Aug,20849645.16129032
1959,9,Sep,20338300.0
1959,10,Oct,19917129.032258064
1959,11,Nov,19814566.666666668
1959,12,Dec,19618129.032258064
1960,1,Jan,19411548.387096774
1960,2,Feb,19214931.03448276
1960,3,Mar,19079258.06451613
1960,4,Apr,19541533.333333332
1960,5,May,20148354.83870968
1960,6,Jun,21127100.0
1960,7,Jul,21595129.032258064
1960,8,Aug,20961354.83870968
1960,9,Sep,20243366.666666668
1960,10,Oct,19767838.70967742
1960,11,Nov,19660966.666666668
1960,12,Dec,19422580.64516129
1961,1,Jan,19133419.35483871
1961,2,Feb,18874321.42857143
1961,3,Mar,18498032.258064516
1961,4,Apr,18027066.666666668
1961,5,May,17850741.93548387
1961,6,Jun,18534600.0
1961,7,Jul,18666483.870967742
1961,8,Aug,18144032.258064516
1961,9,Sep,17928766.666666668
1961,10,Oct,18005419.35483871
1961,11,Nov,18107266.666666668
1961,12,Dec,18065064.51612903
1962,1,Jan,17965161.29032258
1962,2,Feb,18001678.57142857
1962,3,Mar,18137000.0
1962,4,Apr,18519900.0
1962,5,May,20802838.70967742
1962,6,Jun,22758466.666666668
1962,7,Jul,24381032.258064516
1962,8,Aug,24341387.096774194
1962,9,Sep,23818533.333333332
1962,10,Oct,23542290.322580647
1962,11,Nov,23389866.666666668
1962,12,Dec,23124225.80645161
1963,1,Jan,22856290.322580647
1963,2,Feb,22586035.714285713
1963,3,Mar,22201870.967741936
1963,4,Apr,21435100.0
1963,5,May,20630774.19354839
1963,6,Jun,19867300.0
1963,7,Jul,19128322.580645163
1963,8,Aug,18312096.774193548
1963,9,Sep,17671400.0
1963,10,Oct,17125903.225806452
1963,11,Nov,16714200.0
1963,12,Dec,16281032.258064516
1964,1,Jan,15713870.967741935
1964,2,Feb,15275793.103448275
1964,3,Mar,14821225.806451613
1964,4,Apr,14592433.333333334
1964,5,May,14461516.129032258
1964,6,Jun,13777066.666666666
1964,7,Jul,13006064.516129032
1964,8,Aug,12339870.967741935
1964,9,Sep,11855566.666666666
1964,10,Oct,11457580.64516129
1964,11,Nov,11248633.333333334
1964,12,Dec,11167967.741935484
1965,1,Jan,11204161.290322581
1965,2,Feb,11317035.714285715
1965,3,Mar,11228419.35483871
1965,4,Apr,11342266.666666666
1965,5,May,12361677.41935484
1965,6,Jun,14086233.333333334
1965,7,Jul,14717580.64516129
1965,8,Aug,14628677.41935484
1965,9,Sep,14711466.666666666
1965,10,Oct,14728451.612903226
1965,11,Nov,14927666.666666666
1965,12,Dec,15123354.838709677
1966,1,Jan,15351483.870967742
1966,2,Feb,15619000.0
1966,3,Mar,15529096.774193548
1966,4,Apr,15506733.333333334
1966,5,May,15548709.677419355
1966,6,Jun,15599600.0
1966,7,Jul,15420806.451612903
1966,8,Aug,15181290.322580645
1966,9,Sep,15008566.666666666
1966,10,Oct,15046290.322580645
1966,11,Nov,15161300.0
1966,12,Dec,15386129.032258065
1967,1,Jan,15571225.806451613
1967,2,Feb,15646000.0
1967,3,Mar,15562225.806451613
1967,4,Apr,14513733.333333334
1967,5,May,14500838.709677419
1967,6,Jun,14467366.666666666
1967,7,Jul,14337032.258064516
1967,8,Aug,14221709.677419355
1967,9,Sep,14278866.666666666
1967,10,Oct,14300806.451612903
1967,11,Nov,14158733.333333334
1967,12,Dec,14229838.709677419
1968,1,Jan,14467258.064516129
1968,2,Feb,14609551.72413793
1968,3,Mar,14628225.806451613
1968,4,Apr,14730100.0
1968,5,May,14832387.096774194
1968,6,Jun,14918966.666666666
1968,7,Jul,14979870.967741935
1968,8,Aug,15050516.129032258
1968,9,Sep,15078033.333333334
1968,10,Oct,15024322.58064516
1968,11,Nov,15208000.0
1968,12,Dec,15317000.0
1969,1,Jan,15362935.483870968
1969,2,Feb,15480714.285714285
1969,3,Mar,15387129.032258065
1969,4,Apr,15424733.333333334
1969,5,May,15552709.677419355
1969,6,Jun,15541666.666666666
1969,7,Jul,15675516.129032258
1969,8,Aug,15837290.322580645
1969,9,Sep,16058033.333333334
1969,10,Oct,16131225.806451613
1969,11,Nov,16314433.333333334
1969,12,Dec,16633225.806451613
1970,1,Jan,16887193.548387095
1970,2,Feb,16877607.14285714
1970,3,Mar,16712709.677419355
1970,4,Apr,16563866.666666666
1970,5,May,16581161.290322581
1970,6,Jun,16553000.0
1970,7,Jul,16573129.032258065
1970,8,Aug,16549322.58064516
1970,9,Sep,16693866.666666666
1970,10,Oct,16738677.41935484
1970,11,Nov,16647000.0
1970,12,Dec,16721483.870967742
1971,1,Jan,16835580.64516129
1971,2,Feb,16641750.0
1971,3,Mar,16421741.935483871
1971,4,Apr,16333966.666666666
1971,5,May,16335193.548387097
1971,6,Jun,16401300.0
1971,7,Jul,16544935.483870968
1971,8,Aug,16654548.387096774
1971,9,Sep,16865733.333333332
1971,10,Oct,16932741.93548387
1971,11,Nov,17090933.333333332
1971,12,Dec,17436064.51612903
1972,1,Jan,17800419.35483871
1972,2,Feb,17877482.75862069
1972,3,Mar,17472354.83870968
1972,4,Apr,17033400.0
1972,5,May,16979548.387096774
1972,6,Jun,17010600.0
1972,7,Jul,16995645.16129032
1972,8,Aug,17114709.677419353
1972,9,Sep,17314100.0
1972,10,Oct,17629516.129032258
1972,11,Nov,17955266.666666668
1972,12,Dec,18358322.580645163
1973,1,Jan,18944387.096774194
1973,2,Feb,19310750.0
1973,3,Mar,19637419.35483871
1973,4,Apr,20494733.333333332
1973,5,May,21019677.419354837
1973,6,Jun,20959733.333333332
1973,7,Jul,20942354.83870968
1973,8,Aug,20621451.612903226
1973,9,Sep,20284500.0
1973,10,Oct,20100935.48387097
1973,11,Nov,20038633.333333332
1973,12,Dec,19856193.548387095
1974,1,Jan,19939677.419354837
1974,2,Feb,20039964.285714287
1974,3,Mar,19693483.870967742
1974,4,Apr,19212833.333333332
1974,5,May,18877516.129032258
1974,6,Jun,18760200.0
1974,7,Jul,18933451.612903226
1974,8,Aug,19170548.387096774
1974,9,Sep,19316466.666666668
1974,10,Oct,19339903.225806452
1974,11,Nov,19487433.333333332
1974,12,Dec,19647258.06451613
1975,1,Jan,19880419.35483871
1975,2,Feb,19958678.57142857
1975,3,Mar,19861483.870967742
1975,4,Apr,19567166.666666668
1975,5,May,19363451.612903226
1975,6,Jun,19394500.0
1975,7,Jul,19585000.0
1975,8,Aug,19842354.83870968
1975,9,Sep,20008233.333333332
1975,10,Oct,20213483.870967742
1975,11,Nov,20124633.333333332
1975,12,Dec,20093258.06451613
1976,1,Jan,20159032.258064516
1976,2,Feb,20399551.724137932
1976,3,Mar,20439870.967741936
1976,4,Apr,20182900.0
1976,5,May,20115935.48387097
1976,6,Jun,20228266.666666668
1976,7,Jul,20173483.870967742
1976,8,Aug,19967322.580645163
1976,9,Sep,19896966.666666668
1976,10,Oct,20285870.967741936
1976,11,Nov,20749566.666666668
1976,12,Dec,21176806.451612905
1977,1,Jan,21609677.419354837
1977,2,Feb,21953107.14285714
1977,3,Mar,21672258.06451613
1977,4,Apr,21096900.0
1977,5,May,20300838.70967742
1977,6,Jun,19812866.666666668
1977,7,Jul,19641161.29032258
1977,8,Aug,19696290.322580647
1977,9,Sep,20027600.0
1977,10,Oct,20206387.096774194
1977,11,Nov,20129200.0
1977,12,Dec,20071838.70967742
1978,1,Jan,20616774.19354839
1978,2,Feb,21130285.714285713
1978,3,Mar,21354709.677419353
1978,4,Apr,21142300.0
1978,5,May,20824387.096774194
1978,6,Jun,20785666.666666668
1978,7,Jul,20694064.51612903
1978,8,Aug,20595290.322580647
1978,9,Sep,20822733.333333332
1978,10,Oct,20927741.93548387
1978,11,Nov,21135366.666666668
1978,12,Dec,21593548.387096774
1979,1,Jan,22363580.64516129
1979,2,Feb,23129821.42857143
1979,3,Mar,23167161.29032258
1979,4,Apr,22995900.0
1979,5,May,22715000.0
1979,6,Jun,22424333.333333332
1979,7,Jul,22217709.677419353
1979,8,Aug,22262516.129032258
1979,9,Sep,22267000.0
1979,10,Oct,22246612.903225806
1979,11,Nov,22356666.666666668
1979,12,Dec,22551741.93548387
1980,1,Jan,22651387.096774194
1980,2,Feb,23064551.724137932
1980,3,Mar,23474935.48387097
1980,4,Apr,23239033.333333332
1980,5,May,23051870.967741936
1980,6,Jun,23045000.0
1980,7,Jul,23518870.967741936
1980,8,Aug,23607483.870967742
1980,9,Sep,23609566.666666668
1980,10,Oct,23534935.48387097
1980,11,Nov,23393733.333333332
1980,12,Dec,23389838.70967742
1981,1,Jan,23359838.70967742
1981,2,Feb,23552607.14285714
1981,3,Mar,23440677.419354837
1981,4,Apr,22936266.666666668
1981,5,May,22514580.64516129
1981,6,Jun,22222833.333333332
1981,7,Jul,21910000.0
1981,8,Aug,21914419.35483871
1981,9,Sep,21870033.333333332
1981,10,Oct,21936387.096774194
1981,11,Nov,22175433.333333332
1981,12,Dec,22453548.387096774
1982,1,Jan,22835774.19354839
1982,2,Feb,23227142.85714286
1982,3,Mar,23157129.032258064
1982,4,Apr,22873433.333333332
1982,5,May,22585548.387096774
1982,6,Jun,22449400.0
1982,7,Jul,22408548.387096774
1982,8,Aug,22437806.451612905
1982,9,Sep,22641366.666666668
1982,10,Oct,22896870.967741936
1982,11,Nov,23338233.333333332
1982,12,Dec,23927000.0
1983,1,Jan,24021387.096774194
1983,2,Feb,24201357.14285714
1983,3,Mar,24621709.677419353
1983,4,Apr,24563900.0
1983,5,May,24619967.741935484
1983,6,Jun,25223266.666666668
1983,7,Jul,26669451.612903226
1983,8,Aug,26584709.677419353
1983,9,Sep,25936166.666666668
1983,10,Oct,25469387.096774194
1983,11,Nov,25051133.333333332
1983,12,Dec,24814129.032258064
1984,1,Jan,24583709.677419353
1984,2,Feb,24193758.620689657
1984,3,Mar,23914387.096774194
1984,4,Apr,23788500.0
1984,5,May,24024258.06451613
1984,6,Jun,24585233.333333332
1984,7,Jul,24881483.870967742
1984,8,Aug,24681709.677419353
1984,9,Sep,24526966.666666668
1984,10,Oct,24326580.64516129
1984,11,Nov,24159566.666666668
1984,12,Dec,24115935.48387097
1985,1,Jan,23960225.80645161
1985,2,Feb,23937071.42857143
1985,3,Mar,23904387.096774194
1985,4,Apr,23820500.0
1985,5,May,23997290.322580647
1985,6,Jun,24720233.333333332
1985,7,Jul,25037806.451612905
1985,8,Aug,24924838.70967742
1985,9,Sep,24861233.333333332
1985,10,Oct,24726258.06451613
1985,11,Nov,24392466.666666668
1985,12,Dec,24008225.80645161
1986,1,Jan,23300741.93548387
1986,2,Feb,23245821.42857143
1986,3,Mar,23292129.032258064
1986,4,Apr,23448700.0
1986,5,May,23776548.387096774
1986,6,Jun,24342566.666666668
1986,7,Jul,24151064.51612903
1986,8,Aug,23973870.967741936
1986,9,Sep,24115266.666666668
1986,10,Oct,24228354.83870968
1986,11,Nov,24242833.333333332
1986,12,Dec,24465838.70967742
1987,1,Jan,24445290.322580647
1987,2,Feb,24493000.0
1987,3,Mar,24347774.19354839
1987,4,Apr,24081300.0
1987,5,May,23927516.129032258
1987,6,Jun,23787833.333333332
1987,7,Jul,23962451.612903226
1987,8,Aug,24183903.225806452
1987,9,Sep,24346133.333333332
1987,10,Oct,24317677.419354837
1987,11,Nov,24281566.666666668
1987,12,Dec,24508838.70967742
1988,1,Jan,24521000.0
1988,2,Feb,24623310.344827585
1988,3,Mar,24588387.096774194
1988,4,Apr,24323400.0
1988,5,May,23987064.51612903
1988,6,Jun,23584500.0
1988,7,Jul,23232225.80645161
1988,8,Aug,22983677.419354837
1988,9,Sep,22840200.0
1988,10,Oct,22812709.677419353
1988,11,Nov,22795300.0
1988,12,Dec,22837483.870967742
1989,1,Jan,22988064.51612903
1989,2,Feb,23237107.14285714
1989,3,Mar,23109709.677419353
1989,4,Apr,22770633.333333332
1989,5,May,22189645.16129032
1989,6,Jun,21675933.333333332
1989,7,Jul,21507677.419354837
1989,8,Aug,21426032.258064516
1989,9,Sep,21464300.0
1989,10,Oct,21474870.967741936
1989,11,Nov,21395233.333333332
1989,12,Dec,21407290.322580647
1990,1,Jan,21589741.93548387
1990,2,Feb,21686678.57142857
1990,3,Mar,21618225.80645161
1990,4,Apr,21264033.333333332
1990,5,May,20861483.870967742
1990,6,Jun,20501266.666666668
1990,7,Jul,20255483.870967742
1990,8,Aug,20034870.967741936
1990,9,Sep,20044300.0
1990,10,Oct,20065580.64516129
1990,11,Nov,19959300.0
1990,12,Dec,19904064.51612903
1991,1,Jan,19998967.741935484
1991,2,Feb,20103535.714285713
1991,3,Mar,20066225.80645161
1991,4,Apr,19970633.333333332
1991,5,May,19713548.387096774
1991,6,Jun,19506033.333333332
1991,7,Jul,19371774.19354839
1991,8,Aug,19246580.64516129
1991,9,Sep,19215700.0
1991,10,Oct,19166451.612903226
1991,11,Nov,19077900.0
1991,12,Dec,19162064.51612903
1992,1,Jan,19540225.80645161
1992,2,Feb,19932896.55172414
1992,3,Mar,20162612.903225806
1992,4,Apr,20161966.666666668
1992,5,May,19970096.774193548
1992,6,Jun,19637200.0
1992,7,Jul,19408677.419354837
1992,8,Aug,19312096.774193548
1992,9,Sep,19375866.666666668
1992,10,Oct,19425677.419354837
1992,11,Nov,19496333.333333332
1992,12,Dec,19630258.06451613
1993,1,Jan,20116806.451612905
1993,2,Feb,21046535.714285713
1993,3,Mar,21788387.096774194
1993,4,Apr,21983700.0
1993,5,May,21751935.48387097
1993,6,Jun,21389700.0
1993,7,Jul,21197221.16129032
1993,8,Aug,21165117.29032258
1993,9,Sep,21350304.866666667
1993,10,Oct,21325935.48387097
1993,11,Nov,21245800.0
1993,12,Dec,21300806.451612905
1994,1,Jan,21443870.967741936
1994,2,Feb,21552071.42857143
1994,3,Mar,21460799.580645163
1994,4,Apr,21023871.5
1994,5,May,20553098.903225806
1994,6,Jun,20220006.416666668
1994,7,Jul,20019810.422580644
1994,8,Aug,19978361.529032256
1994,9,Sep,19897781.506666668
1994,10,Oct,19891954.64516129
1994,11,Nov,19689590.509999998
1994,12,Dec,19630972.906451613
1995,1,Jan,19935526.461290322
1995,2,Feb,20315493.310714286
1995,3,Mar,20509707.196774196
1995,4,Apr,20269330.863333333
1995,5,May,20016225.990322582
1995,6,Jun,19961232.493333332
1995,7,Jul,20129402.780645162
1995,8,Aug,20312577.5
1995,9,Sep,20532512.243333332
1995,10,Oct,20848265.11935484
1995,11,Nov,21196134.046666667
1995,12,Dec,21545798.18709677
1996,1,Jan,21805037.05483871
1996,2,Feb,22020319.575862072
1996,3,Mar,21955343.24516129
1996,4,Apr,22036184.703333333
1996,5,May,21778619.767741933
1996,6,Jun,21640070.113333333
1996,7,Jul,21558069.7483871
1996,8,Aug,21485584.616129033
1996,9,Sep,21540774.87
1996,10,Oct,21687807.01612903
1996,11,Nov,21791483.333333332
1996,12,Dec,21997960.509677418
1997,1,Jan,22253079.703225806
1997,2,Feb,22304233.74642857
1997,3,Mar,22619294.796774194
1997,4,Apr,22874389.846666668
1997,5,May,22930973.219354838
1997,6,Jun,23051052.216666665
1997,7,Jul,23384677.41612903
1997,8,Aug,23511425.40967742
1997,9,Sep,23614530.93
1997,10,Oct,24049789.05483871
1997,11,Nov,24601529.17
1997,12,Dec,24971892.712903228
1998,1,Jan,25095350.370967742
1998,2,Feb,25024660.714285713
1998,3,Mar,25015710.2483871
1998,4,Apr,24925681.13
1998,5,May,24734139.7516129
1998,6,Jun,24657085.23
1998,7,Jul,24669952.870967742
1998,8,Aug,24894087.83870968
1998,9,Sep,25172077.733333334
1998,10,Oct,25202057.225806452
1998,11,Nov,25224447.4
1998,12,Dec,24944789.870967742
1999,1,Jan,24762834.451612905
1999,2,Feb,24846880.14285714
1999,3,Mar,24776708.580645163
1999,4,Apr,24406022.266666666
1999,5,May,24051678.06451613
1999,6,Jun,23936985.8
1999,7,Jul,23912262.387096774
1999,8,Aug,24076146.0
1999,9,Sep,24442354.2
1999,10,Oct,24715254.967741936
1999,11,Nov,24758039.4
1999,12,Dec,24861892.967741936
2000,1,Jan,25027759.612903226
2000,2,Feb,25032544.0
2000,3,Mar,24804630.0
2000,4,Apr,24380117.2
2000,5,May,24157114.19354839
2000,6,Jun,23768407.6
2000,7,Jul,23208975.16129032
2000,8,Aug,22625486.0
2000,9,Sep,22466167.8
2000,10,Oct,22431688.129032258
2000,11,Nov,22406123.333333332
2000,12,Dec,22339843.677419353
2001,1,Jan,22398422.70967742
2001,2,Feb,22495253.42857143
2001,3,Mar,22312838.258064516
2001,4,Apr,21874166.0
2001,5,May,21348723.419354837
2001,6,Jun,20861548.8
2001,7,Jul,20375838.19354839
2001,8,Aug,20181373.35483871
2001,9,Sep,20009162.933333334
2001,10,Oct,19859744.19354839
2001,11,Nov,19867033.666666668
2001,12,Dec,19786943.29032258
2002,1,Jan,19847854.451612905
2002,2,Feb,19813287.14285714
2002,3,Mar,19393544.19354839
2002,4,Apr,18832301.8
2002,5,May,18240943.93548387
2002,6,Jun,17747641.666666668
2002,7,Jul,17458516.774193548
2002,8,Aug,17288368.0
2002,9,Sep,17143386.133333333
2002,10,Oct,17059995.48387097
2002,11,Nov,16956117.933333334
2002,12,Dec,16790830.967741936
2003,1,Jan,16799752.612903226
2003,2,Feb,16892516.214285713
2003,3,Mar,16952882.64516129
2003,4,Apr,16572778.566666666
2003,5,May,16089025.774193548
2003,6,Jun,15815501.033333333
2003,7,Jul,15668486.58064516
2003,8,Aug,15674146.58064516
2003,9,Sep,15698917.466666667
2003,10,Oct,15611375.806451613
2003,11,Nov,15421445.6
2003,12,Dec,15313294.451612903
2004,1,Jan,15383589.935483871
2004,2,Feb,15427857.27586207
2004,3,Mar,15346518.58064516
2004,4,Apr,15081896.566666666
2004,5,May,14609457.903225806
2004,6,Jun,14173946.666666666
2004,7,Jul,13973935.483870968
2004,8,Aug,13996325.806451613
2004,9,Sep,13988066.666666666
2004,10,Oct,14005652.58064516
2004,11,Nov,14181458.333333334
2004,12,Dec,14359178.387096774
2005,1,Jan,14729230.64516129
2005,2,Feb,15378150.714285715
2005,3,Mar,16053274.193548387
2005,4,Apr,16076164.333333334
2005,5,May,15718532.258064516
2005,6,Jun,15497474.666666666
2005,7,Jul,15357579.032258065
2005,8,Aug,15307678.387096774
2005,9,Sep,15313226.333333334
2005,10,Oct,15134070.64516129
2005,11,Nov,15014265.666666666
2005,12,Dec,15012874.838709677
2006,1,Jan,15262761.935483871
2006,2,Feb,15438257.5
2006,3,Mar,15420613.870967742
2006,4,Apr,15154334.666666666
2006,5,May,14731731.612903226
2006,6,Jun,14337066.333333334
2006,7,Jul,14095729.35483871
2006,8,Aug,14021258.064516129
2006,9,Sep,13957033.333333334
2006,10,Oct,13925677.41935484
2006,11,Nov,13996066.666666666
2006,12,Dec,14097084.838709677
2007,1,Jan,14241336.129032258
2007,2,Feb,14328713.92857143
2007,3,Mar,14121158.064516129
2007,4,Apr,13683513.666666666
2007,5,May,13197602.258064516
2007,6,Jun,12838516.333333334
2007,7,Jul,12626697.741935484
2007,8,Aug,12570925.161290323
